word,count
no,0.0035
but,0.0063
well,0.0017
do,0.0053
medical,0.0001
missions,0.0000
to,0.0238
nigeria,0.0003
did,0.0018
i,0.0324
forget,0.0003
tell,0.0019
you,0.0276
want,0.0027
need,0.0023
crave,0.0002
most,0.0005
of,0.0075
all,0.0039
love,0.0029
my,0.0100
sweet,0.0004
arabian,0.0000
steed,0.0000
mmmmmm,0.0000
yummy,0.0000
hi,0.0018
msg,0.0009
meim,0.0000
in,0.0121
office,0.0004
are,0.0064
u,0.0151
coming,0.0006
the,0.0159
funeral,0.0001
home,0.0026
should,0.0011
head,0.0002
straight,0.0001
there,0.0027
or,0.0035
what,0.0036
was,0.0029
gr8,0.0001
see,0.0023
that,0.0069
message,0.0009
so,0.0060
when,0.0036
r,0.0023
leaving,0.0003
congrats,0.0002
dear,0.0012
school,0.0005
and,0.0111
wat,0.0011
ur,0.0033
plans,0.0002
although,0.0000
told,0.0010
dat,0.0006
im,0.0068
into,0.0005
baig,0.0000
face,0.0007
watches,0.0000
now,0.0043
really,0.0013
like,0.0032
e,0.0011
watch,0.0006
gave,0.0002
cos,0.0011
its,0.0042
fr,0.0003
thanx,0.0006
4,0.0026
everything,0.0006
uve,0.0000
done,0.0009
today,0.0021
touched,0.0001
every,0.0006
mondaynxt,0.0000
week,0.0010
vl,0.0001
be,0.0050
completing,0.0000
heart,0.0007
how,0.0036
will,0.0052
reach,0.0005
ltgt,0.0043
minutes,0.0004
haha,0.0008
get,0.0048
used,0.0003
driving,0.0005
usf,0.0003
man,0.0007
know,0.0034
a,0.0155
lot,0.0005
stoners,0.0000
ok,0.0033
just,0.0046
askd,0.0002
knw,0.0003
tht,0.0002
anyway,0.0005
going,0.0026
shopping,0.0003
on,0.0054
own,0.0002
sis,0.0003
not,0.0057
yet,0.0007
dun,0.0009
disturb,0.0003
liao,0.0006
hey,0.0022
happy,0.0017
birthday,0.0006
bring,0.0003
tat,0.0002
cd,0.0000
don,0.0001
is,0.0102
shall,0.0005
speak,0.0003
then,0.0036
thanks,0.0010
for,0.0082
understanding,0.0001
ive,0.0013
been,0.0013
trying,0.0005
sura,0.0001
surely,0.0001
result,0.0001
offer,0.0000
ì,0.0018
go,0.0039
buy,0.0012
wif,0.0003
him,0.0020
meet,0.0010
later,0.0021
can,0.0047
hcl,0.0000
chennai,0.0002
requires,0.0000
freshers,0.0000
voice,0.0002
processexcellent,0.0000
english,0.0002
neededsalary,0.0000
upto,0.0001
call,0.0034
mssuman,0.0000
telephonic,0.0000
interview,0.0000
via,0.0002
indyarockscom,0.0000
one,0.0028
joys,0.0001
lifeis,0.0000
waking,0.0001
up,0.0041
each,0.0002
daywith,0.0000
thoughts,0.0000
somewheresomeone,0.0000
cares,0.0000
enough,0.0002
tosend,0.0000
warm,0.0001
morning,0.0010
greeting,0.0000
sister,0.0004
earn,0.0000
more,0.0014
than,0.0006
me,0.0124
da,0.0022
dunno,0.0004
lei,0.0003
thk,0.0006
mum,0.0003
lazy,0.0002
out,0.0027
neva,0.0003
ask,0.0015
her,0.0016
normal,0.0002
only,0.0021
here,0.0014
thats,0.0015
great,0.0013
pouch,0.0000
carlos,0.0002
taking,0.0003
his,0.0008
time,0.0030
as,0.0020
usual,0.0002
let,0.0011
patty,0.0000
donewant,0.0000
smoke,0.0002
ill,0.0033
haul,0.0000
ass,0.0002
if,0.0050
before,0.0009
after,0.0012
your,0.0070
ten,0.0003
billion,0.0001
calls,0.0002
texts,0.0001
help,0.0005
god,0.0005
blank,0.0001
lol,0.0012
custom,0.0001
officer,0.0000
discount,0.0001
oh,0.0015
almost,0.0003
sec,0.0002
around,0.0008
ltdecimalgt,0.0005
amp,0.0012
mobile,0.0004
have,0.0065
problem,0.0005
cannt,0.0000
asa,0.0000
free,0.0009
yeah,0.0010
unlimited,0.0001
yup,0.0006
probably,0.0005
having,0.0007
too,0.0015
much,0.0017
fun,0.0002
this,0.0033
thought,0.0006
id,0.0004
txt,0.0003
bored,0.0003
james,0.0000
has,0.0012
farting,0.0000
at,0.0062
night,0.0019
iû÷ve,0.0000
got,0.0035
some,0.0018
salt,0.0000
rub,0.0000
it,0.0075
open,0.0002
wounds,0.0000
bag,0.0001
again,0.0009
gimme,0.0001
few,0.0009
ago,0.0001
which,0.0011
channel,0.0000
she,0.0015
payed,0.0000
suganya,0.0000
compliments,0.0000
away,0.0003
from,0.0023
system,0.0001
side,0.0003
sucks,0.0000
planned,0.0001
yo,0.0005
valentine,0.0001
am,0.0030
arent,0.0002
3,0.0005
pa,0.0005
selected,0.0001
busy,0.0003
finish,0.0006
new,0.0010
year,0.0007
looking,0.0003
forward,0.0002
finally,0.0002
meeting,0.0009
still,0.0022
havent,0.0008
collected,0.0000
dough,0.0000
pls,0.0015
place,0.0008
sent,0.0011
control,0.0001
number,0.0009
babe,0.0012
doing,0.0012
where,0.0016
who,0.0008
talking,0.0002
think,0.0022
being,0.0005
good,0.0029
boy,0.0005
missing,0.0007
agree,0.0000
stop,0.0006
thinkin,0.0001
about,0.0020
ipad,0.0001
please,0.0014
macho,0.0000
same,0.0009
question,0.0002
perhaps,0.0000
easy,0.0003
give,0.0012
account,0.0004
identification,0.0000
tomorrow,0.0015
uni,0.0000
bus,0.0006
small,0.0002
prestige,0.0000
came,0.0005
look,0.0005
flat,0.0001
seems,0.0002
50s,0.0000
alot,0.0000
wiv,0.0002
work,0.0014
woman,0.0001
630,0.0001
familymay,0.0000
happiness,0.0002
stability,0.0000
tranquility,0.0000
vibrant,0.0000
colourful,0.0000
life,0.0010
leave,0.0008
maybe,0.0004
7ish,0.0000
tallent,0.0000
wasting,0.0000
getting,0.0006
hungry,0.0002
sun,0.0002
cant,0.0018
come,0.0032
earth,0.0001
send,0.0020
luv,0.0006
rays,0.0002
cloud,0.0000
river,0.0000
rain,0.0001
care,0.0008
gud,0.0007
evng,0.0001
appreciate,0.0001
sacrifice,0.0000
sure,0.0010
process,0.0000
direct,0.0001
pay,0.0005
find,0.0008
way,0.0015
back,0.0020
test,0.0004
class,0.0010
wonderful,0.0003
day,0.0028
audrie,0.0000
lousy,0.0000
autocorrect,0.0000
forwarded,0.0001
multiply,0.0000
numbers,0.0000
independently,0.0000
count,0.0001
decimal,0.0001
points,0.0001
division,0.0001
push,0.0000
places,0.0001
showed,0.0000
they,0.0017
released,0.0000
another,0.0005
italian,0.0001
cosign,0.0000
option,0.0001
ge,0.0002
nite,0.0004
tmr,0.0006
whatever,0.0003
juliana,0.0000
hiya,0.0001
stu,0.0000
wot,0.0005
2im,0.0000
truble,0.0000
moment,0.0001
evone,0.0000
hates,0.0000
even,0.0007
hell,0.0002
av,0.0000
y,0.0008
wont,0.0008
text,0.0010
bck,0.0001
dan,0.0000
remain,0.0002
unconvinced,0.0000
isnt,0.0003
an,0.0014
elaborate,0.0000
willpower,0.0000
thinking,0.0003
forgot,0.0006
auction,0.0000
watching,0.0005
tv,0.0003
lor,0.0027
nice,0.0009
auntys,0.0000
remember,0.0007
alex,0.0001
pizza,0.0001
ìï,0.0009
takin,0.0001
linear,0.0000
algebra,0.0000
entered,0.0001
cabin,0.0001
said,0.0013
bday,0.0002
boss,0.0001
felt,0.0002
special,0.0007
lunch,0.0006
invited,0.0001
apartment,0.0002
we,0.0045
went,0.0009
couldnt,0.0001
say,0.0016
he,0.0028
dying,0.0000
feel,0.0011
sad,0.0002
wanted,0.0005
would,0.0008
gone,0.0003
late,0.0007
with,0.0032
weather,0.0001
keep,0.0009
extra,0.0001
cold,0.0000
nothing,0.0006
serious,0.0001
lots,0.0002
vitamin,0.0000
c,0.0011
1s,0.0000
dad,0.0005
em,0.0002
wtc,0.0000
far,0.0003
weiyi,0.0000
goin,0.0003
rest,0.0002
dinner,0.0006
den,0.0003
might,0.0006
b,0.0009
able,0.0005
join,0.0003
feeling,0.0002
sick,0.0002
shanilrakhesh,0.0000
herethanksi,0.0000
exchanged,0.0000
uncut,0.0000
diamond,0.0000
stuffleaving,0.0000
excellent,0.0001
service,0.0000
by,0.0017
dino,0.0000
prem,0.0000
jus,0.0004
masters,0.0001
bb,0.0002
sale,0.0001
hows,0.0006
bf,0.0001
sorry,0.0020
certainly,0.0001
puts,0.0000
things,0.0006
perspective,0.0000
something,0.0011
happens,0.0000
hii,0.0000
money,0.0009
were,0.0013
mad,0.0001
first,0.0011
woke,0.0002
why,0.0009
tired,0.0002
had,0.0011
happen,0.0003
eat,0.0005
maggi,0.0000
mee,0.0000
textin,0.0000
bout,0.0003
mm,0.0002
railway,0.0000
under,0.0002
sea,0.0002
lays,0.0000
rock,0.0001
envelope,0.0001
paper,0.0002
words,0.0003
wearing,0.0001
blue,0.0003
shirt,0.0001
n,0.0018
black,0.0000
pants,0.0000
hello,0.0006
madam,0.0000
rs,0.0002
shelf,0.0001
two,0.0006
egg,0.0002
quite,0.0005
lar,0.0008
ard,0.0003
12,0.0001
wun,0.0002
drivin,0.0001
though,0.0003
hm,0.0001
friday,0.0002
wait,0.0009
gonna,0.0010
weeks,0.0001
become,0.0001
slob,0.0000
already,0.0013
lovely,0.0002
xxx,0.0003
calis,0.0000
complexities,0.0000
car,0.0006
move,0.0002
freely,0.0000
taxes,0.0000
outrageous,0.0000
part,0.0004
auntie,0.0000
huai,0.0000
juan,0.0001
never,0.0007
pick,0.0010
phone,0.0012
reaching,0.0001
wanna,0.0005
xx,0.0002
sch,0.0003
46,0.0000
haf,0.0003
book,0.0002
yes,0.0010
nigh,0.0000
aha,0.0002
may,0.0006
gym,0.0002
vijay,0.0000
talk,0.0006
jaya,0.0000
dude,0.0003
hw,0.0002
realy,0.0002
mising,0.0000
okie,0.0004
show,0.0004
world,0.0004
princess,0.0006
europe,0.0000
thatd,0.0000
pretty,0.0003
best,0.0006
case,0.0003
scenario,0.0000
studies,0.0000
alone,0.0003
without,0.0005
anyones,0.0000
study,0.0002
them,0.0012
fool,0.0000
aft,0.0003
lect,0.0002
juz,0.0004
google,0.0001
search,0.0002
qet,0.0000
hanging,0.0001
brother,0.0005
family,0.0002
yupz,0.0000
oredi,0.0002
booked,0.0001
slots,0.0000
weekends,0.0001
rite,0.0002
mate,0.0002
pete,0.0002
2geva,0.0001
longer,0.0001
those,0.0005
whom,0.0001
hurt,0.0003
during,0.0001
