word,count
dear,0.0014
voucher,0.0014
holder,0.0007
to,0.0418
claim,0.0070
this,0.0060
weeks,0.0011
offer,0.0011
at,0.0020
you,0.0168
pc,0.0007
please,0.0030
go,0.0020
httpwwwetlpcoukreward,0.0001
tscs,0.0010
apply,0.0017
urgent,0.0037
is,0.0094
the,0.0117
2nd,0.0014
attempt,0.0016
contact,0.0026
uu,0.0003
have,0.0071
won,0.0047
å£1000call,0.0001
09071512432,0.0001
b4,0.0003
300603tcsbcm4235wc1n3xxcallcost150ppmmobilesvary,0.0001
maxå£7,0.0003
50,0.0003
u,0.0070
r,0.0011
a,0.0235
winner,0.0013
ave,0.0003
been,0.0023
specially,0.0007
selected,0.0016
2,0.0108
receive,0.0024
å£1000,0.0023
cash,0.0043
or,0.0112
4,0.0070
holiday,0.0023
flights,0.0006
inc,0.0009
speak,0.0010
live,0.0020
operator,0.0014
0871277810710pmin,0.0001
18,0.0018
sms,0.0021
auction,0.0010
nokia,0.0036
7250i,0.0004
what,0.0009
get,0.0048
when,0.0009
win,0.0038
our,0.0038
free,0.0128
take,0.0006
part,0.0007
send,0.0034
86021,0.0006
now,0.0109
hgsuite3422lands,0.0007
roww1jhl,0.0004
16,0.0027
video,0.0007
camera,0.0021
phones,0.0010
with,0.0068
half,0.0006
price,0.0009
line,0.0013
rental,0.0006
for,0.0105
12,0.0004
mths,0.0003
and,0.0054
500,0.0018
cross,0.0003
ntwk,0.0003
mins,0.0011
100,0.0010
txts,0.0007
call,0.0172
mobileupd8,0.0006
08001950382,0.0004
call2optout674,0.0001
latest,0.0023
mobile,0.0073
ipod,0.0009
mp3,0.0004
player,0.0011
å£400,0.0006
proze,0.0001
guaranteed,0.0028
reply,0.0054
83355,0.0003
norcorp,0.0001
ltdå£150mtmsgrcvd18,0.0001
someone,0.0006
know,0.0011
has,0.0014
asked,0.0004
dating,0.0004
service,0.0017
cant,0.0004
guess,0.0004
who,0.0021
09058091854,0.0001
all,0.0013
will,0.0027
be,0.0030
revealed,0.0003
po,0.0016
box385,0.0001
m6,0.0001
6wu,0.0001
ur,0.0074
awarded,0.0018
complimentary,0.0011
trip,0.0001
eurodisinc,0.0001
trav,0.0001
acoentry41,0.0001
txt,0.0085
dis,0.0001
87121,0.0003
186å£150morefrmmob,0.0001
shracomorsglsuplt10,0.0001
ls1,0.0001
3aj,0.0001
december,0.0003
only,0.0047
had,0.0018
your,0.0155
11mths,0.0010
are,0.0053
entitled,0.0007
update,0.0017
colour,0.0011
vco,0.0001
on,0.0071
08002986906,0.0003
ve,0.0001
costa,0.0004
del,0.0004
sol,0.0004
å£5000,0.0006
await,0.0011
collection,0.0018
09050090044,0.0003
toclaim,0.0003
sae,0.0013
tc,0.0010
s,0.0006
pobox334,0.0003
stockport,0.0003
sk38xh,0.0004
costå£150pm,0.0003
max10mins,0.0003
07801543489,0.0001
latests,0.0001
phone,0.0026
40gb,0.0004
å£500,0.0011
prize,0.0045
wordcollect,0.0001
no83355,0.0001
tcllc,0.0001
nyusa,0.0001
150pmt,0.0001
msgrcvd18,0.0001
babe,0.0003
want,0.0013
me,0.0010
dont,0.0011
baby,0.0003
im,0.0004
nasty,0.0001
thing,0.0001
filthyguys,0.0001
fancy,0.0004
rude,0.0001
time,0.0009
sexy,0.0009
bitch,0.0001
how,0.0003
about,0.0003
we,0.0031
slo,0.0001
n,0.0007
hard,0.0003
xxx,0.0004
slo4msgs,0.0001
1000s,0.0003
of,0.0057
girls,0.0004
many,0.0003
local,0.0006
virgins,0.0001
ready,0.0006
4fil,0.0003
every,0.0017
sexual,0.0001
need,0.0004
can,0.0017
theirs,0.0001
text,0.0061
cute,0.0001
69911å£150p,0.0001
m,0.0007
themobhit,0.0001
link,0.0003
premium,0.0003
pink,0.0001
panther,0.0001
game,0.0007
new,0.0033
no,0.0044
1,0.0014
from,0.0067
sugababes,0.0001
crazy,0.0001
zebra,0.0001
animation,0.0001
badass,0.0001
hoody,0.0001
wallpaperall,0.0001
0871277810810,0.0001
bored,0.0003
housewives,0.0003
chat,0.0026
date,0.0007
08717507711,0.0003
btnational,0.0003
rate,0.0010
10pmin,0.0006
landlines,0.0003
hi,0.0009
07734396839,0.0001
ibh,0.0001
customer,0.0017
loyalty,0.0003
nokia6600,0.0001
å£10,0.0003
txtauctiontxt,0.0001
wordstart,0.0001
no81151,0.0001
yours,0.0007
now4t,0.0001
wanna,0.0009
laid,0.0001
2nite,0.0001
real,0.0009
dogging,0.0006
locations,0.0003
sent,0.0007
direct,0.0006
join,0.0006
uks,0.0006
largest,0.0003
network,0.0009
park,0.0001
69696,0.0003
nyt,0.0001
ec2a,0.0003
3lp,0.0003
å£150msg,0.0003
taking,0.0001
in,0.0050
survey,0.0001
yesterday,0.0003
texts,0.0009
use,0.0007
however,0.0001
wish,0.0003
just,0.0036
80160,0.0001
wwwtxt43com,0.0001
150p,0.0013
freemsg,0.0010
86888,0.0003
reward,0.0007
3,0.0014
hours,0.0003
talk,0.0004
subscribe6gbpmnth,0.0003
3hrs,0.0003
stoptxtstop,0.0003
1000,0.0003
2000,0.0004
call09050000327,0.0003
rstm,0.0003
sw7,0.0003
3ss,0.0003
150ppm,0.0021
important,0.0006
information,0.0007
orange,0.0013
user,0.0004
today,0.0009
lucky,0.0006
day2find,0.0003
out,0.0033
why,0.0009
log,0.0006
onto,0.0006
httpwwwurawinnercom,0.0004
theres,0.0004
fantastic,0.0004
surprise,0.0004
awaiting,0.0006
1st,0.0018
ringtone,0.0016
msg,0.0020
tone,0.0023
gr8,0.0006
top,0.0013
20,0.0001
tones,0.0018
week,0.0021
å£150,0.0016
per,0.0030
wk,0.0013
opt,0.0010
stop,0.0057
08452810071,0.0001
trying,0.0009
last,0.0009
weekends,0.0006
draw,0.0021
shows,0.0016
that,0.0017
å£900,0.0003
09061701851,0.0001
code,0.0014
k61,0.0001
valid,0.0007
12hours,0.0001
09066362231,0.0004
07xxxxxxxxx,0.0003
å£2000,0.0017
bonus,0.0011
caller,0.0007
020603,0.0004
reach,0.0006
asap,0.0006
explicit,0.0003
sex,0.0006
30,0.0003
secs,0.0003
ring,0.0004
02073162414,0.0003
costs,0.0003
20pmin,0.0003
contract,0.0001
11,0.0003
mnths,0.0001
motorola,0.0004
etc,0.0001
double,0.0006
tariffs,0.0001
yes,0.0013
callback,0.0003
remove,0.0001
records,0.0004
uve,0.0006
invited,0.0004
xchat,0.0004
final,0.0010
86688,0.0011
077xxx,0.0001
09066362206,0.0001
box97n7qp,0.0003
3mobile,0.0001
if,0.0018
0870,0.0006
chatlines,0.0001
inclu,0.0001
india,0.0001
cust,0.0003
servs,0.0001
sed,0.0001
l8er,0.0001
got,0.0006
mega,0.0001
bill,0.0004
giv,0.0001
shit,0.0001
bailiff,0.0001
due,0.0003
days,0.0007
i,0.0017
o,0.0001
å£250,0.0010
å£800,0.0007
voicemail,0.0001
08719181503,0.0001
some,0.0003
cock,0.0001
my,0.0004
hubbys,0.0001
away,0.0003
man,0.0001
satisfy,0.0001
wife,0.0001
89938,0.0001
strings,0.0001
action,0.0003
end,0.0011
rec,0.0001
å£150ea,0.0001
otbox,0.0001
731,0.0001
la1,0.0001
7ws,0.0001
spook,0.0007
up,0.0011
mob,0.0011
halloween,0.0004
logo,0.0006
pic,0.0010
message,0.0017
plus,0.0006
eerie,0.0004
card,0.0004
8007,0.0013
zed,0.0004
08701417012150p,0.0003
logopic,0.0004
10,0.0001
cameravideo,0.0001
save,0.0004
å£s,0.0001
textsweekend,0.0001
calls,0.0009
orno,0.0001
entry,0.0013
textpod,0.0001
chance,0.0013
pod,0.0001
84128,0.0001
wwwtextpodnet,0.0001
custcare,0.0003
08712405020,0.0003
todays,0.0014
09066358361,0.0001
land,0.0006
y87,0.0001
12hrs,0.0006
5,0.0007
polyphonic,0.0004
087018728737,0.0001
national,0.0009
toppoly,0.0001
tune,0.0001
subpoly,0.0003
81618,0.0001
å£3,0.0001
pole,0.0001
unsub,0.0004
08718727870,0.0003
tried,0.0007
re,0.0003
750,0.0004
unlimited,0.0007
camcorder,0.0006
08000930705,0.0006
free2day,0.0003
st,0.0003
georges,0.0003
day,0.0010
jordantxt,0.0003
89080,0.0003
miss,0.0003
then,0.0007
saucy,0.0003
celeb4,0.0003
more,0.0018
pics,0.0004
c,0.0011
pocketbabecouk,0.0003
0870241182716,0.0003
å£3wk,0.0003
07732584351,0.0001
rodger,0.0001
burns,0.0001
delivery,0.0010
tomorrow,0.0001
six,0.0003
chances,0.0001
20000,0.0001
pounds,0.0010
csh11,0.0001
87575,0.0003
cost,0.0013
150pday,0.0001
6days,0.0001
tsandcs,0.0001
hl,0.0003
info,0.0004
b4u,0.0001
wc,0.0001
2703,0.0001
marsms,0.0001
wwwb4utelecom,0.0001
discount,0.0006
credit,0.0004
care,0.0003
08717168528,0.0001
09050001808,0.0003
m95,0.0003
valid12hrs,0.0003
ac,0.0004
blind,0.0003
4u,0.0003
rodds1,0.0001
21m,0.0001
aberdeen,0.0001
united,0.0001
kingdom,0.0001
check,0.0003
him,0.0001
httpimg,0.0001
acwicmb3cktz8r74,0.0001
dates,0.0003
hide,0.0001
msgs,0.0001
ok,0.0003
80488,0.0001
well,0.0006
account,0.0007
0anetworks,0.0001
allow,0.0001
companies,0.0001
so,0.0016
they,0.0004
responsible,0.0001
their,0.0001
suppliers,0.0001
spanish,0.0001
09050000332,0.0001
0789xxxxxxx,0.0001
lover,0.0003
names,0.0003
joined,0.0003
by,0.0023
heart,0.0003
love,0.0007
name1,0.0003
name2,0.0003
mobno,0.0003
eg,0.0007
adam,0.0003
eve,0.0003
07123456789,0.0003
87077,0.0003
yahoo,0.0003
pobox36504w45wq,0.0003
txtno,0.0003
ads,0.0003
balance,0.0001
next,0.0007
question,0.0003
sang,0.0001
uptown,0.0001
girl,0.0003
80s,0.0001
answer,0.0006
83600,0.0003
good,0.0004
luck,0.0003
indicate,0.0003
maybe,0.0001
5000,0.0004
compensation,0.0001
accident,0.0003
congratulations,0.0010
vip,0.0001
row,0.0001
tickets,0.0001
blu,0.0003
concert,0.0001
november,0.0001
gift,0.0011
09061104276,0.0001
wwwsmsconet,0.0001
costå£375max,0.0001
44,0.0001
7732584351,0.0001
do,0.0009
3510i,0.0003
deliveredtomorrow,0.0003
300,0.0004
minutes,0.0003
any,0.0007
boltblue,0.0001
poly,0.0013
mono,0.0003
poly3,0.0001
cha,0.0003
slide,0.0001
yeah,0.0001
slow,0.0001
jamz,0.0001
6,0.0004
toxic,0.0001
8,0.0001
come,0.0003
74355,0.0001
xmas,0.0004
iscoming,0.0001
either,0.0004
cd,0.0006
vouchers,0.0011
å£100,0.0010
weekly,0.0010
music,0.0007
87066,0.0006
tnc,0.0001
newest,0.0001
ûïharry,0.0001
potter,0.0001
order,0.0007
phoenix,0.0001
book,0.0003
harry,0.0001
questions,0.0003
first,0.0003
among,0.0001
readers,0.0001
dorothykiefercom,0.0001
bank,0.0001
granite,0.0001
issues,0.0001
strongbuy,0.0001
explosive,0.0001
pick,0.0001
members,0.0001
over,0.0004
nasdaq,0.0001
symbol,0.0001
cdgt,0.0001
oranges,0.0003
mobiles,0.0010
weekend,0.0007
upd8,0.0003
freefone,0.0006
08000839402,0.0006
2stoptx,0.0001
